ID	name	latitude	longitude	rdc	
14350	ADAMSAZ	31.998388	-110.166565	0	Douglas PUD
14253	AVERY	33.780743	-112.143974	0.436025	Douglas PUD
14351	BAGDAD	34.59063	-113.233719	0	Douglas PUD
14361	BAGCAP	34.561901	-113.197098	0	Douglas PUD
14364	BAGDTWN	34.565784	-113.17524	0	Douglas PUD
14301	BLACK	34.565784	-114.2173	0	Douglas PUD
14303	BLYTHEAZ	33.611382	-114.680412	0	Douglas PUD
14362	BOOTHLAZ	31.738354	-109.982231	0	Douglas PUD
14352	BONNYBRK	33.059906	-111.318535	0	Douglas PUD
14201	BUCKEYEZ	33.43689	-112.592407	0.5066	Douglas PUD
14202	CACTUS_Z	33.583439	-111.885201	0.436025	Douglas PUD
14203	CASGRAPS	32.885181	-111.774605	0.436025	Douglas PUD
14014	Cedar	35.411186	-112.21315	0.12	Douglas PUD
14114	CHEVELON	34.614597	-110.714806	0	Douglas PUD
14000	CHOLLA	34.937073	-110.302429	0.164375	Douglas PUD
14205	COCONINO	35.176697	-111.654114	0.436025	Douglas PUD
14206	CTRYCLUB	33.475464	-112.066681	0.4736	Douglas PUD
14207	DEERVALY	33.663086	-112.133301	0.436025	Douglas PUD
14012	DELANEY	33.481434	-113.033211	0.4977	Douglas PUD
14647	DBGAPS	32.903824	-111.790955	0.436025	Douglas PUD
14018	DUGAS	34.40448	-112.108887	0.164375	Douglas PUD
14209	EAGLEYE	33.906311	-113.286011	0.67	Douglas PUD
14079	ELDORDAZ	35.7971	-115.007896	0	Douglas PUD
14210	ELSOL	33.567505	-112.306213	0.436025	Douglas PUD
14240	FORTROCK	35.239502	-113.204712	0.436025	Douglas PUD
14001	FOURCORN	36.686707	-108.483887	0.164375	Douglas PUD
14258	FREEDOM	33.408367	-112.497902	0.436025	Douglas PUD
14243	GAVILANP	33.837524	-112.056213	0.328	Douglas PUD
14235	GILABEND	32.939697	-112.759583	0.5062	Douglas PUD
14212	GLENDALE	33.535889	-112.185303	1.0198	Douglas PUD
14270	GRNDTRML	33.473328	-112.106201	0.436025	Douglas PUD
14644	HAYDENAP	33.003922	-110.779396	0	Douglas PUD
14427	HDWASHAZ	32.953308	-113.488586	0	Douglas PUD
14264	JUNIPRMT	35.299683	-113.030029	0.436025	Douglas PUD
14645	KEARNYAP	33.053562	-110.89959	0	Douglas PUD
14215	LEUPP	35.302711	-111.095093	0.436025	Douglas PUD
14216	LINCSTRT	33.442078	-112.076721	0.384	Douglas PUD
14217	LONEPK_Z	33.655701	-112.055115	0.436025	Douglas PUD
14107	MAZATZAL	34.060673	-111.334946	1.5297	Douglas PUD
14218	MEDOWBRK	33.501526	-112.058228	0.436025	Douglas PUD
14271	MILLIGAN	32.733704	-111.566589	0.436025	Douglas PUD
14002	MOENKOPI	35.832092	-111.446411	0.164375	Douglas PUD
14011	MORGANAZ	33.818298	-112.26178	0.104	Douglas PUD
14353	MURAL	31.4293	-109.876297	0	Douglas PUD
14003	NAVAJO	36.902729	-111.394249	0.164375	Douglas PUD
14267	NGILAAZ	32.745701	-114.490601	0	Douglas PUD
14219	OCOTILLO	33.427307	-111.911682	0	Douglas PUD
14262	OCHRD	32.627659	-114.536873	0	Douglas PUD
14252	PLMVLY	33.504272	-112.426208	0.436025	Douglas PUD
14238	PANDA	32.972931	-112.695412	0.6012	Douglas PUD
14016	PINPKAPS	33.700928	-111.937195	0.08	Douglas PUD
14103	PRECHCYN	34.261719	-111.182312	0.08	Douglas PUD
14246	RACEWAY	33.80249	-112.272217	0.436025	Douglas PUD
14220	REACHAPS	33.669312	-111.99408	0.436025	Douglas PUD
14009	REDHAWK	33.334839	-112.843361	0.164375	Douglas PUD
14223	ROUNDVLY	35.192871	-113.363586	0.4172	Douglas PUD
14237	RUNWAY	33.410305	-112.369347	0	Douglas PUD
14004	SAGUARO	32.556446	-111.296303	0.1417	Douglas PUD
14354	SANMNUEL	32.618698	-110.626297	0	Douglas PUD
14226	SNTAROSA	32.960327	-111.996704	0.436025	Douglas PUD
14257	SCTWSH	33.711624	-112.076263	0.436025	Douglas PUD
14244	SELIGMAN	35.326111	-112.874878	0.436025	Douglas PUD
14263	SOLANA	32.921673	-112.977806	0	Douglas PUD
14245	STRATUS	33.49218	-112.43988	0	Douglas PUD
14010	SUN	33.659992	-112.688614	0.3318	Douglas PUD
14227	SUNYSLOP	33.574097	-112.059387	0.436025	Douglas PUD
14228	SURPRISE	33.635498	-112.343689	0.436025	Douglas PUD
14229	TATMOMLI	32.625916	-111.794678	0.436025	Douglas PUD
14254	TRLBY	33.67627	-112.486397	0.436025	Douglas PUD
14255	TS2	33.595928	-112.447205	0	Douglas PUD
14359	VLYFRMAZ	33.008057	-111.422302	0	Douglas PUD
14230	VERDE	34.84613	-112.029785	0.436025	Douglas PUD
14233	WPHXAPS	33.441711	-112.161011	0.436025	Douglas PUD
14005	WESTWING	33.707092	-112.321411	0.164375	Douglas PUD
14232	WHTNKAPS	33.467285	-112.312988	0.436025	Douglas PUD
14249	WILLOWLK	34.602905	-112.453796	0.436025	Douglas PUD
14006	YAVAPAI	34.756531	-112.229614	0.164375	Douglas PUD
14108	YOUNGSCY	35.1833	-111.396629	0.08	Douglas PUD
60006	ROE_ADE_CIO	42.705521	-113.668678	0	 
60015	ALAMEDA	42.878407	-112.450096	0	 
60016	ALAMEDAT	42.889999	-112.440002	0	 
60020	AMFLS	42.775154	-112.873329	0	 
60024	AMFLS	42.778152	-112.876411	0	 
60030	BLACKFT	43.176479	-112.359802	0	 
60033	BLACKFT	43.176479	-112.359802	0	 
60035	BLISS	42.913891	-115.071152	0	 
60045	BOISEBCH	43.560001	-116.160004	0	 
60060	BORAH	42.750214	-112.930557	0	 
60064	BOWMONT	43.438553	-116.534332	0	 
60073	BRADY	42.77	-112.870003	0	 
60095	BRWNL	44.840061	-116.896584	0	 
60102	HORSEFLT	44.59	-116.730003	0	 
60110	DALE	42.740196	-114.776169	0	 
60113	DON	42.851002	-112.542999	0	 
60114	NORTHVW	42.608345	-114.73391	0	 
60115	CLIFF	42.597523	-114.403275	0	 
60116	SHSNFALS	42.597286	-114.404388	0	 
60120	DALE	42.740196	-114.776169	0	 
60124	AF	42.82	-112.739998	0	 
60125	DON_L012	42.904999	-112.540001	0	 
60130	DRAM	43.525455	-116.141228	0	 
60135	EDEN	42.561901	-114.230698	0	 
60140	EMMETT	43.876091	-116.473274	0	 
60145	FREMONT	42.858234	-112.470604	0	 
60150	HELSCYN3	45.242901	-116.702003	0	 
60155	HEMINWAY	43.350266	-116.663094	0	 
60165	HUNT	42.630001	-114.230003	0	 
60170	FOSSIL	42.821136	-114.932076	0	 
60175	KING	42.840439	-114.900703	0	 
60177	JUSTICE	42.84	-114.900002	0	 
60179	HOKU	42.897778	-112.4972	0	 
60190	KINPORT	42.889999	-112.559998	0	 
60195	L	42.865303	-114.906052	0	 
60200	L	42.841419	-114.903648	0	 
60207	LOCUST	43.647751	-116.372612	0	 
60210	LOWELL	43.540001	-116.589996	0	 
60211	CHESTNUT	43.55883	-116.556709	0	 
60215	LUCKYPK2	43.527962	-116.058525	0	 
60217	STKY	44.852188	-116.412086	0	 
60220	MCCALL	44.912693	-116.124802	0	 
60225	MICRON	43.527565	-116.144638	0	 
60240	HIGHLDTP	42.920338	-112.446381	0	 
60245	MLNR-34.5_4	42.519325	-114.014168	0	 
60247	MLNR	42.565128	-114.053596	0	 
60248	HSBND	43.917908	-116.196556	0	 
60249	HUBBARD	43.506966	-116.33551	0	 
60250	MT	43.126785	-115.690659	0	 
60257	HAPPYVLY	43.550167	-116.511696	0	 
60265	ONTARIO	44.049999	-116.980003	0	 
60266	LGPR_ST1	43.905746	-116.821388	0	 
60275	OXBOW	44.970001	-116.849998	0	 
60278	IMNAHA	45.55928	-116.83136	0	 
60281	WSNLK	42.62928	-114.174393	0	 
60282	HZNB	42.619999	-114.089996	0	 
60283	HZLTNB	42.605358	-114.092491	0	 
60284	HZLTNA	42.587105	-114.067261	0	 
60285	PAUL	42.691128	-113.872047	0	 
60291	PINGREE	43.110569	-112.573502	0	 
60295	PLST	42.790966	-113.042938	0	 
60300	PNUF-34.5	42.798744	-112.364891	0	 
60306	QUARTZ	44.720001	-117.779999	0	 
60310	J	42.808182	-113.666145	0	 
60312	N	45.067032	-117.862892	0	 
60314	ELKHRN_W	45.04937	-117.80751	0	 
60315	SIPHON	42.935272	-112.489616	0	 
60317	ELDR	42.9048	-112.480202	0	 
60320	STRIKE	42.944775	-115.977783	0	 
60324	JPSR_XFR	42.18	-114.599998	0	 
60332	SWNFL	43.240002	-116.379997	0	 
60335	TERRY	42.867821	-112.420273	0	 
60340	KARCHER	43.608154	-116.562729	0	 
60345	TWINFALL	42.571121	-114.47084	0	 
60350	KUNA	43.422489	-116.413765	0	 
60351	TWINFALS	42.589256	-114.356483	0	 
60354	POCKET	42.945847	-114.630371	0	 
60356	SHOSHONE	42.931	-114.410004	0	Douglas PUD
60360	U	42.77	-114.919998	0	 
60370	WEISER	44.247543	-116.986015	0	 
60372	LAKEFORK	44.774082	-116.08905	0	 
60375	WOOD	43.542812	-114.327652	0	 
60394	DANSKIN	43.18	-115.730003	0	 
60395	RTLSNAKE	43.177502	-115.603996	0	 
60396	BTMT	43.147747	-115.666061	0	 
60400	GARNET	43.686073	-116.60743	0	 
60405	MHAFB	43.052322	-115.86657	0	 
60407	MTNAIRW2	43.066677	-115.387527	0	 
60414	HIGHMESA	42.880531	-115.037155	0	 
60435	BCSR	43.439999	-116.330002	0	 
60810	Canal	42.5411	-113.585602	0	 
60812	Canal	42.5322	-113.544296	0	 
60813	Bridge	42.129902	-113.356697	0	 
60814	Cedar	41.976601	-113.159798	0	 
60815	Curlew	41.966099	-112.944199	0	 
60816	East	42.4813	-113.627602	0	 
60817	Grouse	41.6376	-113.903297	0	 
60818	Hay	42.606499	-113.687401	0	 
60821	Idahome	42.415798	-113.409302	0	 
60823	Kelton	41.8381	-113.1436	0	 
60824	Minico	42.604599	-113.751602	0	 
60829	Newcomb	42.576099	-113.558601	0	 
60831	Riverton	42.553501	-113.760101	0	 
